users_count,traffic_level,team_size,update_frequency,integrations,security_level,scalability_need,architecture,deployment_method,api_style
199419,High,23,Daily,14,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
177425,High,37,Daily,19,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
52040,High,29,Daily,12,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
96484,High,20,Daily,15,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
4177,Low,3,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
177391,High,40,Daily,20,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
23016,Medium,18,Daily,15,High,High,Microservices,Microservices with Docker,REST API + gRPC
47304,High,26,Weekly,14,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
45410,Medium,22,Weekly,10,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
64908,High,20,Daily,17,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
5417,Medium,9,Weekly,3,High,Medium,Containerized App,Docker Container Deployment,REST API
4849,Low,4,Monthly,2,Low,Low,Monolithic,Single Server Deployment,REST API
3827,Low,4,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
32946,Medium,27,Daily,9,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
18640,Low,13,Monthly,3,Medium,Low,Containerized App,Docker Container Deployment,REST API
1108,Low,4,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
25382,Medium,23,Weekly,13,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
59441,High,34,Daily,23,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
183296,High,22,Daily,24,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
47387,Medium,28,Daily,10,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
2459,Low,3,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
51629,High,43,Daily,20,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
14817,Medium,8,Weekly,3,Medium,Low,Containerized App,Docker Container Deployment,REST API
11792,Low,12,Monthly,7,High,Medium,Containerized App,Docker Container Deployment,REST API
13243,Low,14,Weekly,8,High,Low,Containerized App,Docker Container Deployment,REST API
31677,Medium,27,Weekly,9,High,High,Microservices,Microservices with Docker,REST API + gRPC
14237,Medium,6,Monthly,5,Medium,Medium,Containerized App,Docker Container Deployment,REST API
3280,Low,2,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
130537,High,33,Daily,22,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
22502,Medium,16,Weekly,11,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
92868,High,48,Daily,18,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
3418,Low,3,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
166286,High,31,Daily,25,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
12911,Low,9,Monthly,5,High,Medium,Containerized App,Docker Container Deployment,REST API
18246,Low,9,Weekly,3,High,Low,Containerized App,Docker Container Deployment,REST API
109735,High,45,Daily,21,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
61674,High,24,Daily,12,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
6553,Medium,12,Monthly,5,Medium,Medium,Containerized App,Docker Container Deployment,REST API
38032,Medium,26,Daily,15,High,High,Microservices,Microservices with Docker,REST API + gRPC
2592,Low,2,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
44292,Medium,18,Weekly,15,High,High,Microservices,Microservices with Docker,REST API + gRPC
17428,Medium,12,Monthly,8,Medium,Low,Containerized App,Docker Container Deployment,REST API
34977,High,29,Weekly,11,High,High,Microservices,Microservices with Docker,REST API + gRPC
1531,Low,2,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
45543,High,30,Daily,13,High,High,Microservices,Microservices with Docker,REST API + gRPC
11770,Medium,12,Monthly,8,Medium,Low,Containerized App,Docker Container Deployment,REST API
169556,High,32,Daily,23,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
25168,High,28,Weekly,15,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
3162,Low,3,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
47211,Medium,16,Weekly,10,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
17408,Medium,6,Weekly,6,High,Low,Containerized App,Docker Container Deployment,REST API
30183,Medium,20,Daily,15,High,High,Microservices,Microservices with Docker,REST API + gRPC
2968,Low,4,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
30469,Medium,27,Weekly,15,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
7555,Low,15,Weekly,7,High,Medium,Containerized App,Docker Container Deployment,REST API
7352,Low,12,Monthly,6,High,Low,Containerized App,Docker Container Deployment,REST API
17409,Low,9,Weekly,3,Medium,Medium,Containerized App,Docker Container Deployment,REST API
81800,High,32,Daily,16,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
449,Low,5,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
83052,High,44,Daily,19,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
7231,Medium,6,Monthly,5,High,Low,Containerized App,Docker Container Deployment,REST API
13130,Low,9,Monthly,7,Medium,Medium,Containerized App,Docker Container Deployment,REST API
120906,High,34,Daily,15,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
22383,Medium,23,Weekly,10,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
4087,Low,4,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
1061,Low,3,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
102257,High,40,Daily,24,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
6805,Low,11,Weekly,4,High,Medium,Containerized App,Docker Container Deployment,REST API
4634,Low,3,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
3598,Low,2,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
4535,Low,3,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
8956,Low,10,Weekly,8,Medium,Medium,Containerized App,Docker Container Deployment,REST API
4717,Low,2,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
3451,Low,5,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
6664,Low,8,Monthly,8,Medium,Medium,Containerized App,Docker Container Deployment,REST API
1109,Low,2,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
25937,Medium,19,Weekly,12,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
40151,High,28,Daily,10,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
115909,High,44,Daily,20,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
7337,Low,6,Monthly,7,High,Low,Containerized App,Docker Container Deployment,REST API
172887,High,26,Daily,10,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
7362,Medium,9,Monthly,4,Medium,Low,Containerized App,Docker Container Deployment,REST API
10029,Low,9,Monthly,5,Medium,Low,Containerized App,Docker Container Deployment,REST API
98330,High,32,Daily,22,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
1287,Low,3,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
23135,High,19,Weekly,15,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
190865,High,39,Daily,14,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
908,Low,3,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
16319,Low,8,Monthly,8,Medium,Low,Containerized App,Docker Container Deployment,REST API
5820,Medium,12,Weekly,4,Medium,Medium,Containerized App,Docker Container Deployment,REST API
127727,High,26,Daily,18,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
5421,Low,13,Monthly,6,Medium,Medium,Containerized App,Docker Container Deployment,REST API
147140,High,49,Daily,20,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
62484,High,44,Daily,18,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
63186,High,50,Daily,24,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
149002,High,34,Daily,18,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
163319,High,32,Daily,17,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
14837,Medium,12,Monthly,3,Medium,Medium,Containerized App,Docker Container Deployment,REST API
831,Low,2,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
110051,High,28,Daily,22,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
161884,High,40,Daily,22,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
4512,Low,5,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
45059,Medium,28,Weekly,9,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
4070,Low,2,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
35105,High,27,Daily,13,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
17261,Medium,14,Weekly,4,High,Low,Containerized App,Docker Container Deployment,REST API
1884,Low,2,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
3128,Low,3,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
35226,Medium,26,Weekly,9,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
2473,Low,5,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
145178,High,39,Daily,25,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
4602,Low,2,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
41796,Medium,20,Daily,12,High,High,Microservices,Microservices with Docker,REST API + gRPC
41711,High,19,Weekly,13,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
10481,Low,11,Weekly,6,Medium,Medium,Containerized App,Docker Container Deployment,REST API
10768,Low,12,Weekly,5,High,Low,Containerized App,Docker Container Deployment,REST API
34293,High,27,Weekly,13,High,High,Microservices,Microservices with Docker,REST API + gRPC
4219,Low,2,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
3076,Low,3,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
17795,Medium,14,Weekly,7,High,Low,Containerized App,Docker Container Deployment,REST API
15439,Low,12,Weekly,4,High,Low,Containerized App,Docker Container Deployment,REST API
14647,Medium,11,Weekly,6,High,Low,Containerized App,Docker Container Deployment,REST API
36934,Medium,23,Weekly,14,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
2226,Low,3,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
18539,Low,14,Monthly,3,High,Medium,Containerized App,Docker Container Deployment,REST API
2962,Low,4,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
3111,Low,4,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
3225,Low,5,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
4210,Low,4,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
165456,High,34,Daily,14,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
22161,Medium,19,Daily,14,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
922,Low,5,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
3865,Low,4,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
36044,Medium,22,Weekly,9,High,High,Microservices,Microservices with Docker,REST API + gRPC
32479,High,30,Daily,11,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
4746,Low,4,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
1180,Low,2,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
59910,High,24,Daily,17,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
520,Low,5,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
12112,Medium,7,Monthly,3,Medium,Low,Containerized App,Docker Container Deployment,REST API
120730,High,23,Daily,16,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
6921,Medium,11,Weekly,7,Medium,Low,Containerized App,Docker Container Deployment,REST API
15661,Low,12,Weekly,7,Medium,Low,Containerized App,Docker Container Deployment,REST API
37651,High,25,Daily,9,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
52629,High,24,Daily,20,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
1368,Low,3,Monthly,2,Low,Low,Monolithic,Single Server Deployment,REST API
47491,Medium,22,Weekly,10,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
2310,Low,5,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
36284,High,18,Daily,14,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
135920,High,48,Daily,15,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
6582,Low,13,Weekly,5,Medium,Low,Containerized App,Docker Container Deployment,REST API
1125,Low,4,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
34878,Medium,21,Daily,13,High,High,Microservices,Microservices with Docker,REST API + gRPC
4335,Low,3,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
38855,High,22,Weekly,9,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
1465,Low,4,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
3266,Low,3,Monthly,2,Low,Low,Monolithic,Single Server Deployment,REST API
16623,Low,12,Monthly,5,Medium,Medium,Containerized App,Docker Container Deployment,REST API
6516,Medium,9,Weekly,5,Medium,Low,Containerized App,Docker Container Deployment,REST API
79816,High,25,Daily,15,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
38371,High,29,Weekly,15,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
35789,High,27,Weekly,13,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
4423,Low,4,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
71538,High,40,Daily,15,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
5448,Medium,6,Weekly,3,High,Medium,Containerized App,Docker Container Deployment,REST API
16877,Medium,6,Monthly,4,High,Medium,Containerized App,Docker Container Deployment,REST API
47827,High,23,Daily,10,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
4382,Low,2,Monthly,1,Medium,Low,Monolithic,Single Server Deployment,REST API
132854,High,23,Daily,11,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
19472,Medium,8,Weekly,6,Medium,Low,Containerized App,Docker Container Deployment,REST API
27781,High,18,Weekly,15,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
134671,High,42,Daily,19,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
41461,High,26,Weekly,15,High,High,Microservices,Microservices with Docker,REST API + gRPC
20160,Medium,17,Daily,11,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
4066,Low,4,Monthly,2,Low,Low,Monolithic,Single Server Deployment,REST API
269,Low,2,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
30443,High,30,Weekly,10,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
33312,High,25,Weekly,13,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
30258,Medium,30,Daily,15,High,High,Microservices,Microservices with Docker,REST API + gRPC
45793,High,17,Daily,15,High,High,Microservices,Microservices with Docker,REST API + gRPC
10675,Medium,8,Weekly,8,High,Low,Containerized App,Docker Container Deployment,REST API
2088,Low,3,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
713,Low,5,Monthly,2,Low,Low,Monolithic,Single Server Deployment,REST API
1367,Low,5,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
3157,Low,2,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
40403,High,24,Daily,10,High,High,Microservices,Microservices with Docker,REST API + gRPC
154327,High,42,Daily,17,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
1394,Low,5,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
4492,Low,4,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
32875,Medium,23,Weekly,10,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
138156,High,20,Daily,16,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
162482,High,23,Daily,14,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
2719,Low,2,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
75494,High,45,Daily,22,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
5256,Medium,6,Monthly,5,Medium,Low,Containerized App,Docker Container Deployment,REST API
1202,Low,2,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
8997,Medium,13,Monthly,7,Medium,Medium,Containerized App,Docker Container Deployment,REST API
988,Low,3,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
47619,High,22,Weekly,15,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
42140,High,21,Weekly,10,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
23820,Medium,22,Daily,12,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
3055,Low,2,Monthly,2,Low,Low,Monolithic,Single Server Deployment,REST API
158326,High,26,Daily,21,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
25594,Medium,30,Daily,11,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
130716,High,40,Daily,19,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
22094,High,30,Daily,9,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
33649,High,16,Daily,9,High,High,Microservices,Microservices with Docker,REST API + gRPC
22662,Medium,16,Daily,15,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
30391,High,28,Weekly,14,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
40943,Medium,21,Weekly,9,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
58786,High,34,Daily,23,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
4270,Low,5,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
26731,High,20,Daily,9,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
11175,Medium,10,Weekly,4,Medium,Low,Containerized App,Docker Container Deployment,REST API
105137,High,31,Daily,20,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
187807,High,50,Daily,10,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
64658,High,49,Daily,21,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
5475,Medium,10,Monthly,6,Medium,Medium,Containerized App,Docker Container Deployment,REST API
5633,Medium,8,Monthly,3,High,Medium,Containerized App,Docker Container Deployment,REST API
33561,Medium,23,Weekly,14,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
1061,Low,4,Monthly,2,Low,Low,Monolithic,Single Server Deployment,REST API
13682,Medium,11,Monthly,7,Medium,Medium,Containerized App,Docker Container Deployment,REST API
24287,High,16,Daily,14,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
19024,Medium,8,Weekly,7,High,Medium,Containerized App,Docker Container Deployment,REST API
30511,Medium,24,Weekly,12,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
2742,Low,2,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
44598,High,24,Daily,9,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
124059,High,47,Daily,13,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
3224,Low,2,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
1423,Low,2,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
197692,High,43,Daily,12,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
67903,High,34,Daily,14,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
18803,Low,15,Weekly,3,Medium,Low,Containerized App,Docker Container Deployment,REST API
4769,Low,3,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
142,Low,3,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
5194,Low,7,Monthly,8,High,Medium,Containerized App,Docker Container Deployment,REST API
15605,Medium,13,Weekly,3,High,Medium,Containerized App,Docker Container Deployment,REST API
15534,Low,13,Monthly,3,Medium,Low,Containerized App,Docker Container Deployment,REST API
7306,Low,8,Monthly,4,Medium,Low,Containerized App,Docker Container Deployment,REST API
149788,High,20,Daily,10,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
3472,Low,3,Monthly,2,Low,Low,Monolithic,Single Server Deployment,REST API
176531,High,32,Daily,21,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
11985,Low,15,Monthly,3,Medium,Medium,Containerized App,Docker Container Deployment,REST API
11574,Low,11,Monthly,6,Medium,Low,Containerized App,Docker Container Deployment,REST API
154985,High,31,Daily,18,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
9095,Medium,11,Weekly,3,High,Medium,Containerized App,Docker Container Deployment,REST API
7978,Low,9,Monthly,6,High,Low,Containerized App,Docker Container Deployment,REST API
20759,Medium,22,Weekly,15,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
82251,High,33,Daily,16,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
1691,Low,2,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
20891,Medium,21,Daily,11,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
9812,Medium,7,Weekly,5,Medium,Low,Containerized App,Docker Container Deployment,REST API
97281,High,32,Daily,22,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
94239,High,44,Daily,24,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
746,Low,5,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
77999,High,47,Daily,12,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
18407,Medium,7,Monthly,3,High,Low,Containerized App,Docker Container Deployment,REST API
130423,High,29,Daily,14,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
41820,Medium,16,Daily,12,Medium,Medium,Microservices,Microservices with Docker,REST API + gRPC
132373,High,23,Daily,11,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
86783,High,28,Daily,22,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
8669,Medium,11,Monthly,3,High,Medium,Containerized App,Docker Container Deployment,REST API
